"Name","Price","Bonus","URL"
"Сетевое зарядное устройство Apple MHJE3ZM/A 20W Power Adapter, 1xUSB Type-C, 2.2A, white","930","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-apple-mhje3zm-a-100027469266/"
"Внешний аккумулятор Xiaomi Fast Charge PB3 18W 10000mAh Black (VXN4274GL)","1340","0","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-fast-charge-pb3-18w-10000mah-black-vxn4274gl-100025945726/"
"Внешний аккумулятор Xiaomi Redmi 18W Fast Charge Power Bank 20000mAh (VXN4304GL)","1045","0","https://megamarket.ru//catalog/details/akb-mi-vxn4304gl-100026391067/"
"Внешний аккумулятор Xiaomi Mi Power Bank 3 Ultra compact 10000mAh (BHR4412GL)","1380","306","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-mi-power-bank-3-ultra-compact-10000mah-bhr4412gl-100028033401/"
"Наушники Apple EarPods Lightning White (MMTN2ZM/A)","2280","0","https://megamarket.ru//catalog/details/naushniki-dlya-apple-earpods-with-lightning-connector-mmtn2zm-a--100000062346/"
"Игровая мышь A4Tech Bloody V7 Black","1630","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-bloody-v7-black-100000037419/"
"Сетевое зарядное устройство Xiaomi Mi 20W charger Type C, белое","850","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-xiaomi-mi-20w-charger-type-c-beloe-600004659136/"
"Игровая мышь A4Tech Bloody V8 Black","1600","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-v8-100000024057/"
"Картридж струйный Canon PG-440, черный (5219B001)","1590","0","https://megamarket.ru//catalog/details/kartridzh-dlya-struynogo-printera-canon-pg-440-100000040011/"
"Наушники Xiaomi Redmi Buds 3 Lite Black (BHR5489GL) (Глобальная версия)","1150","0","https://megamarket.ru//catalog/details/naushniki-xiaomi-redmi-buds-3-lite-black-bhr5489gl-100030319510/"
"Беспроводные наушники Redmi AirDots 2 Black","477","24","https://megamarket.ru//catalog/details/besprovodnye-naushniki-xiaomi-redmi-airdots-2-cn-black-600002233402/"
"Картридж струйный Canon PG-445XL, черный (8282B001)","3500","175","https://megamarket.ru//catalog/details/canon-kartridzh-canon-pg-445xl-dlya-mg2540-chernyy-400-stranic-100000563402/"
"Кресло игровое ZOMBIE VIKING KNIGHT LT28 FABRIC серо-голубой крестовина металл","21690","0","https://megamarket.ru//catalog/details/kreslo-igrovoe-byurokrat-viking-knight-lt28-fabric-sero-goluboy-krestovina-metall-600001720800/"
"Игра для приставки Sony PlayStation 4 Red Dead Redemption 2 субтитры","2225","0","https://megamarket.ru//catalog/details/videoigra-dlya-playstation-4-rockstar-games-red-dead-redemption-2-100023633113/"
"Игра Grand Theft Auto V для PlayStation 4","1890","0","https://megamarket.ru//catalog/details/videoigra-dlya-ps4-media-grand-theft-auto-v-100000036556/"
"Сетевое зарядное устройство Apple MHJE3ZM/A 20W Power Adapter, 1xUSB Type-C, 2.2A, white","930","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-apple-mhje3zm-a-100027469266/"
"Внешний аккумулятор Xiaomi Fast Charge PB3 18W 10000mAh Black (VXN4274GL)","1340","0","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-fast-charge-pb3-18w-10000mah-black-vxn4274gl-100025945726/"
"Внешний аккумулятор Xiaomi Redmi 18W Fast Charge Power Bank 20000mAh (VXN4304GL)","1045","0","https://megamarket.ru//catalog/details/akb-mi-vxn4304gl-100026391067/"
"Внешний аккумулятор Xiaomi Mi Power Bank 3 Ultra compact 10000mAh (BHR4412GL)","1380","306","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-mi-power-bank-3-ultra-compact-10000mah-bhr4412gl-100028033401/"
"Наушники Apple EarPods Lightning White (MMTN2ZM/A)","2280","0","https://megamarket.ru//catalog/details/naushniki-dlya-apple-earpods-with-lightning-connector-mmtn2zm-a--100000062346/"
"Игровая мышь A4Tech Bloody V7 Black","1630","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-bloody-v7-black-100000037419/"
"Сетевое зарядное устройство Xiaomi Mi 20W charger Type C, белое","850","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-xiaomi-mi-20w-charger-type-c-beloe-600004659136/"
"Игровая мышь A4Tech Bloody V8 Black","1600","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-v8-100000024057/"
"Картридж струйный Canon PG-440, черный (5219B001)","1590","0","https://megamarket.ru//catalog/details/kartridzh-dlya-struynogo-printera-canon-pg-440-100000040011/"
"Наушники Xiaomi Redmi Buds 3 Lite Black (BHR5489GL) (Глобальная версия)","1150","0","https://megamarket.ru//catalog/details/naushniki-xiaomi-redmi-buds-3-lite-black-bhr5489gl-100030319510/"
"Беспроводные наушники Redmi AirDots 2 Black","477","24","https://megamarket.ru//catalog/details/besprovodnye-naushniki-xiaomi-redmi-airdots-2-cn-black-600002233402/"
"Картридж струйный Canon PG-445XL, черный (8282B001)","3500","175","https://megamarket.ru//catalog/details/canon-kartridzh-canon-pg-445xl-dlya-mg2540-chernyy-400-stranic-100000563402/"
"Кресло игровое ZOMBIE VIKING KNIGHT LT28 FABRIC серо-голубой крестовина металл","21690","0","https://megamarket.ru//catalog/details/kreslo-igrovoe-byurokrat-viking-knight-lt28-fabric-sero-goluboy-krestovina-metall-600001720800/"
"Игра для приставки Sony PlayStation 4 Red Dead Redemption 2 субтитры","2225","0","https://megamarket.ru//catalog/details/videoigra-dlya-playstation-4-rockstar-games-red-dead-redemption-2-100023633113/"
"Игра Grand Theft Auto V для PlayStation 4","1890","0","https://megamarket.ru//catalog/details/videoigra-dlya-ps4-media-grand-theft-auto-v-100000036556/"
"Сетевое зарядное устройство Apple MHJE3ZM/A 20W Power Adapter, 1xUSB Type-C, 2.2A, white","930","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-apple-mhje3zm-a-100027469266/"
"Внешний аккумулятор Xiaomi Fast Charge PB3 18W 10000mAh Black (VXN4274GL)","1340","0","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-fast-charge-pb3-18w-10000mah-black-vxn4274gl-100025945726/"
"Внешний аккумулятор Xiaomi Redmi 18W Fast Charge Power Bank 20000mAh (VXN4304GL)","1045","0","https://megamarket.ru//catalog/details/akb-mi-vxn4304gl-100026391067/"
"Внешний аккумулятор Xiaomi Mi Power Bank 3 Ultra compact 10000mAh (BHR4412GL)","1380","306","https://megamarket.ru//catalog/details/vneshniy-akkumulyator-xiaomi-mi-power-bank-3-ultra-compact-10000mah-bhr4412gl-100028033401/"
"Наушники Apple EarPods Lightning White (MMTN2ZM/A)","2280","0","https://megamarket.ru//catalog/details/naushniki-dlya-apple-earpods-with-lightning-connector-mmtn2zm-a--100000062346/"
"Игровая мышь A4Tech Bloody V7 Black","1630","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-bloody-v7-black-100000037419/"
"Сетевое зарядное устройство Xiaomi Mi 20W charger Type C, белое","850","0","https://megamarket.ru//catalog/details/setevoe-zaryadnoe-ustroystvo-xiaomi-mi-20w-charger-type-c-beloe-600004659136/"
"Игровая мышь A4Tech Bloody V8 Black","1600","0","https://megamarket.ru//catalog/details/igrovaya-mysh-a4tech-v8-100000024057/"
"Картридж струйный Canon PG-440, черный (5219B001)","1590","0","https://megamarket.ru//catalog/details/kartridzh-dlya-struynogo-printera-canon-pg-440-100000040011/"
"Наушники Xiaomi Redmi Buds 3 Lite Black (BHR5489GL) (Глобальная версия)","1150","0","https://megamarket.ru//catalog/details/naushniki-xiaomi-redmi-buds-3-lite-black-bhr5489gl-100030319510/"
"Беспроводные наушники Redmi AirDots 2 Black","477","24","https://megamarket.ru//catalog/details/besprovodnye-naushniki-xiaomi-redmi-airdots-2-cn-black-600002233402/"
"Картридж струйный Canon PG-445XL, черный (8282B001)","3500","175","https://megamarket.ru//catalog/details/canon-kartridzh-canon-pg-445xl-dlya-mg2540-chernyy-400-stranic-100000563402/"
"Кресло игровое ZOMBIE VIKING KNIGHT LT28 FABRIC серо-голубой крестовина металл","21690","0","https://megamarket.ru//catalog/details/kreslo-igrovoe-byurokrat-viking-knight-lt28-fabric-sero-goluboy-krestovina-metall-600001720800/"
"Игра для приставки Sony PlayStation 4 Red Dead Redemption 2 субтитры","2225","0","https://megamarket.ru//catalog/details/videoigra-dlya-playstation-4-rockstar-games-red-dead-redemption-2-100023633113/"
"Игра Grand Theft Auto V для PlayStation 4","1890","0","https://megamarket.ru//catalog/details/videoigra-dlya-ps4-media-grand-theft-auto-v-100000036556/"
